iter	Passed	Remaining
0	0	53
1	0	48
2	1	45
3	1	42
4	2	41
5	2	40
6	3	40
7	3	40
8	3	40
9	4	39
10	4	38
11	5	38
12	5	37
13	6	36
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	31
29	13	30
30	13	30
31	13	29
32	14	29
33	14	28
34	15	28
35	15	27
36	15	27
37	16	26
38	16	26
39	17	25
40	17	25
41	17	24
42	18	24
43	18	23
44	19	23
45	19	22
46	19	22
47	20	22
48	20	21
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	27	15
64	28	15
65	28	14
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	33	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	7
82	36	7
83	37	7
84	37	6
85	37	6
86	38	5
87	38	5
88	39	4
89	39	4
90	39	3
91	40	3
92	40	3
93	41	2
94	41	2
95	41	1
96	42	1
97	42	0
98	43	0
99	43	0
