iter	Passed	Remaining
0	131	131291
1	131	65845
2	132	44025
3	132	33099
4	133	26542
5	133	22170
6	134	19076
7	134	16731
8	135	14908
9	135	13446
10	136	12253
11	136	11255
12	137	10410
13	137	9686
14	137	9059
15	138	8512
16	138	8030
17	139	7603
18	139	7223
19	140	6878
20	140	6569
21	141	6285
22	141	6029
23	142	5794
24	143	5578
25	143	5377
26	144	5193
27	144	5020
28	145	4859
29	145	4710
30	146	4570
31	146	4440
32	147	4315
33	147	4197
34	148	4085
35	148	3979
36	149	3880
37	149	3786
38	150	3696
39	150	3613
40	151	3533
41	151	3456
42	151	3382
43	152	3312
44	152	3246
45	153	3187
46	154	3126
47	154	3069
48	155	3012
49	155	2960
50	156	2911
51	156	2859
52	157	2810
53	157	2762
54	158	2716
55	158	2673
56	159	2632
57	159	2591
58	160	2563
59	161	2525
60	161	2488
61	162	2453
62	162	2418
63	163	2385
64	163	2353
65	164	2321
66	164	2289
67	164	2259
68	165	2230
69	165	2202
70	166	2174
71	166	2147
72	167	2121
73	167	2096
74	168	2072
75	168	2048
76	168	2024
77	169	2001
78	169	1979
79	170	1957
80	170	1936
81	171	1916
82	171	1894
83	172	1875
84	172	1856
85	172	1837
86	173	1819
87	173	1802
88	174	1784
89	174	1767
90	175	1752
91	175	1735
92	176	1719
93	176	1703
94	177	1687
95	177	1672
96	177	1657
97	178	1642
98	178	1627
99	179	1613
100	179	1599
101	180	1585
102	180	1572
103	181	1559
104	181	1547
105	181	1534
106	182	1522
107	182	1509
108	183	1497
109	183	1486
110	184	1475
111	184	1464
112	185	1453
113	185	1442
114	186	1431
115	186	1420
116	186	1409
117	187	1399
118	187	1389
119	188	1379
120	188	1369
121	188	1358
122	189	1348
123	189	1339
124	189	1329
125	190	1320
126	190	1310
127	191	1302
128	191	1295
129	192	1287
130	192	1278
131	193	1270
132	193	1263
133	194	1256
134	195	1250
135	195	1242
136	196	1234
137	196	1227
138	197	1220
139	197	1214
140	198	1206
141	198	1198
142	198	1191
143	199	1184
144	199	1176
145	200	1169
146	200	1162
147	200	1155
148	201	1149
149	201	1142
150	202	1136
151	202	1130
152	202	1123
153	203	1117
154	203	1110
155	204	1104
156	204	1098
157	204	1092
158	205	1086
159	205	1080
160	206	1074
161	206	1068
162	207	1063
163	207	1058
164	208	1053
165	208	1047
166	208	1042
167	209	1036
168	209	1031
169	210	1026
170	210	1022
171	211	1016
172	211	1011
173	212	1006
174	212	1002
175	213	997
176	213	992
177	213	987
178	214	982
179	214	978
180	215	973
181	215	968
182	215	963
183	216	959
184	216	954
185	217	949
186	217	945
187	218	941
188	218	937
189	218	933
190	219	928
191	219	924
192	220	920
193	220	917
194	221	913
195	221	910
196	222	906
197	222	902
198	223	898
199	223	894
200	224	891
201	224	887
202	225	883
203	225	879
204	225	875
205	226	872
206	226	869
207	227	865
208	227	862
209	228	858
210	228	855
211	229	852
212	229	849
213	230	846
214	230	842
215	231	839
216	231	836
217	232	833
218	232	829
219	233	826
220	233	824
221	234	821
222	234	818
223	235	815
224	235	811
225	236	808
226	236	805
227	237	802
228	237	799
229	237	796
230	238	793
231	238	790
232	239	787
233	239	784
234	240	782
235	240	779
236	241	776
237	241	773
238	242	770
239	242	768
240	243	765
241	243	762
242	243	759
243	244	757
244	244	754
245	245	751
246	245	749
247	246	747
248	246	744
249	247	741
250	247	739
251	248	736
252	248	734
253	249	732
254	249	730
255	250	727
256	250	725
257	251	723
258	251	720
259	252	718
260	252	715
261	253	713
262	253	711
263	254	708
264	254	706
265	255	704
266	255	702
267	256	699
268	256	697
269	256	694
270	257	692
271	257	689
272	258	687
273	258	685
274	259	682
275	259	680
276	259	678
277	260	676
278	261	674
279	261	672
280	261	670
281	262	668
282	262	665
283	263	663
284	263	661
285	264	659
286	264	656
287	264	654
288	265	652
289	265	650
290	266	648
291	266	646
292	267	644
293	267	642
294	268	640
295	268	638
296	269	636
297	269	635
298	269	632
299	270	631
300	270	629
301	271	627
302	271	625
303	272	623
304	272	621
305	273	619
306	273	617
307	274	616
308	274	614
309	275	612
310	275	610
311	276	608
312	276	606
313	276	605
314	277	603
315	277	601
316	278	599
317	279	598
318	279	596
319	280	595
320	280	593
321	281	592
322	281	590
323	282	588
324	282	586
325	282	585
326	283	583
327	283	581
328	284	579
329	284	577
330	285	576
